Region,Waterbody Key,Original Name,Zone,Management Units,Note,Similar 1,Score 1,Type 1,Similar 2,Score 2,Type 2
REGION 5 - Cariboo,chipmunk lake,CHIPMUNK LAKE,6,6-1,,Chapman Lake,0.80,lake,Chismaina Lake,0.74,lake
REGION 5 - Cariboo,cruise lake,“CRUISE” LAKE,5,5-6,,Cruiser Lake,0.96,lake,Chris Lake,0.86,lake
REGION 5 - Cariboo,dog lake,“DOG” LAKE,5,5-2,,Long Lake,0.82,lake,Douglas Lake,0.80,lake
REGION 5 - Cariboo,lower portions of the dean rive,LOWER PORTIONS OF THE DEAN RIVE,,,,,,,,,
REGION 5 - Cariboo,saku th class 1 - r lower section dean channel on reek kalone creek class 1 - ma,Saku th CLASS 1 - R Lower Section Dean Channel oN reek Kalone Creek CLASS 1 - Ma,,,,,,,,,
REGION 5 - Cariboo,frog lake,FROG LAKE,5,5-6,,Roger Lake,0.84,lake,Roe Lake,0.82,lake
REGION 5 - Cariboo,geese lake,“GEESE” LAKE (2 km northeast of Eliguk Lake),5,5-12,,McLeese Lake,0.82,lake,Goose Lake,0.80,lake
REGION 5 - Cariboo,kestrel lake,“KESTREL” LAKE,5,5-2,,Koster Lake,0.78,lake,Dester Lake,0.78,lake
REGION 5 - Cariboo,little bishop lake,“LITTLE BISHOP” LAKE (approx. 1.7 km northeast of Bishop Lake),5,5-13,,Little Horse Lake,0.80,lake,Little Sapeye Lake,0.78,lake
REGION 5 - Cariboo,little jones lake,“LITTLE JONES” LAKE,5,5-2,,Little Horse Lake,0.82,lake,Little Koeye Lake,0.82,lake
REGION 5 - Cariboo,maydoe lake,MAYDOE LAKE,5,5-6,,Madden Lake,0.82,lake,Hyde Lake,0.80,lake
REGION 5 - Cariboo,meridian lake,MERIDIAN LAKE,5,5-1,,Sheridan Lake,0.85,lake,Marian Lake,0.83,lake
REGION 5 - Cariboo,paddy lake,PADDY LAKE,5,5-1,,Teddy Lake,0.80,lake,Purdy Lake,0.80,lake
REGION 5 - Cariboo,pigeon lake #1,“PIGEON LAKE #1”,5,5-2,,Widgeon Lake,0.77,lake,Philemon Lake,0.74,lake
REGION 5 - Cariboo,redfern lake,REDFERN LAKE,5,5-15,,Green Lake,0.82,lake,Redwater Lake,0.80,lake
REGION 5 - Cariboo,rye lake,“RYE” LAKE,5,5-2,,Bryne Lake,0.89,lake,Roe Lake,0.88,lake
REGION 5 - Cariboo,sardine lake,SARDINE LAKE,5,5-2,,Spain Lake,0.82,lake,Marie Lake,0.82,lake
REGION 5 - Cariboo,secret lake,SECRET LAKE,5,5-6,,Vert Lake,0.80,lake,Stewart Lake,0.78,lake
REGION 5 - Cariboo,sinkhole lake,“SINKHOLE” LAKE,5,5-2,,Snake Lake,0.78,lake,Shiko Lake,0.78,lake
REGION 5 - Cariboo,slim lake,“SLIM” LAKE,5,5-4,,Slum Lake,0.89,lake,Si Lake,0.88,lake
REGION 5 - Cariboo,squirrel lake,SQUIRREL LAKE,6,6-1,,Surel Lake,0.87,lake,Square Lake,0.83,lake
REGION 5 - Cariboo,sunshine lake,SUNSHINE (“Ant”) LAKE,5,5-11,,Suzannie Lake,0.77,lake,Squiness Lake,0.77,lake
REGION 5 - Cariboo,toms lake,TOMS LAKE,6,6-1,,Top Lake,0.82,lake,Holmes Lake,0.80,lake
REGION 5 - Cariboo,wentworth lakes,WENTWORTH LAKES,5,5-13,,Cotsworth Lake,0.76,lake,Wentworth Creek,0.73,stream
REGION 6 - Skeena,chilkoot trail national historic park waters,CHILKOOT TRAIL NATIONAL HISTORIC PARK WATERS,6,6-28,,,,,,,
REGION 6 - Skeena,chipmunk lake,CHIPMUNK LAKE,6,6-1,,Chapman Lake,0.80,lake,Chismaina Lake,0.74,lake
REGION 6 - Skeena,copper river,COPPER RIVER,6,6-9,,Tkope River,0.78,stream,Clore River,0.78,stream
REGION 6 - Skeena,diana creek,“DIANA” CREEK,6,6-14,,Dinan Creek,0.91,stream,Danah Creek,0.91,stream
REGION 6 - Skeena,east gribbell creek,“EAST GRIBBELL” CREEK,6,6-3,,Atrill Creek,0.77,stream,East Side Creek,0.76,stream
REGION 6 - Skeena,ishkheenickh river,ISHKHEENICKH RIVER,6,6-14,,Skeena River,0.73,stream,Shegunia River,0.69,stream
REGION 6 - Skeena,ksi hlginx river,KSI HLGINX RIVER (formerly Ishkheenickh River),6,6-14,,Koshin River,0.79,stream,Ksi Hlginx Tributary,0.78,stream
REGION 6 - Skeena,ksi sgasginist creek,KSI SGASGINIST CREEK (formerly Seaskinnish Creek),6,6-15,,Ksi Sgasginist,0.82,stream,Higgins Creek,0.73,stream
REGION 6 - Skeena,ksi sii aks river,KSI SII AKS RIVER (formerly Tseax River),6,6-14,,Ksi Sii Aks Tributary,0.79,stream,Ksi Sii Aks,0.79,stream
REGION 6 - Skeena,ksi x’anmas river,KSI X’ANMAS RIVER (formerly Kwinamass River),6,6-14,,Ksi X'anmas Tributary,0.78,stream,Ksi X'anmas,0.77,stream
REGION 6 - Skeena,kwinamass river,KWINAMASS RIVER,6,6-14,,Nass River,0.80,stream,Kwinageese River,0.77,stream
REGION 6 - Skeena,mcdonnel lake,MCDONNEL LAKE,6,6-9,,McDonell Lake,0.92,lake,McDowell Lake,0.85,lake
REGION 6 - Skeena,mcqueen creek,MCQUEEN CREEK,6,6-30,,McEwan Creek,0.80,stream,Cheeny Creek,0.80,stream
REGION 6 - Skeena,oldfield creek,“OLDFIELD” CREEK,6,6-14,,Bodel Creek,0.80,stream,Wildfire Creek,0.79,stream
REGION 6 - Skeena,rancheria river’s tributaries,RANCHERIA RIVER’S TRIBUTARIES,6,6-25,,Little Rancheria River Tributary,0.80,stream,Blanchet River Tributary,0.77,stream
REGION 6 - Skeena,seaskinnish creek,SEASKINNISH CREEK,6,6-15,,North Seaskinnish Creek,0.85,stream,Bearskin Creek,0.77,stream
REGION 6 - Skeena,seeley creek,“SEELEY” CREEK (outlet of Seeley Lake),6,6-9,,Steel Creek,0.87,stream,Lesley Creek,0.83,stream
REGION 6 - Skeena,skeena river/kispiox river confluence,SKEENA RIVER/KISPIOX RIVER CONFLUENCE,6,6-8,,,,,,,
REGION 6 - Skeena,squirrel lake,SQUIRREL LAKE,6,6-1,,Surel Lake,0.87,lake,Square Lake,0.83,lake
REGION 6 - Skeena,toms lake,TOMS LAKE,6,6-1,,Top Lake,0.82,lake,Holmes Lake,0.80,lake
